iter	Passed	Remaining
399	64538	96807
400	64684	96623
401	64856	96478
402	65057	96375
403	65236	96240
404	65384	96059
405	65563	95922
406	65712	95743
407	65865	95570
408	66040	95427
409	66193	95253
410	66340	95071
411	66510	94923
412	66656	94739
413	66804	94559
414	66985	94424
415	67138	94251
416	67297	94086
417	67483	93960
418	67667	93829
419	67815	93649
420	67992	93510
421	68145	93336
422	68298	93163
423	68472	93018
424	68620	92839
425	68763	92652
426	68937	92508
427	69085	92329
428	69235	92153
429	69412	92012
430	69552	91821
431	69702	91646
432	69895	91525
433	70069	91381
434	70233	91222
435	70405	91075
436	70553	90896
437	70709	90727
438	70877	90575
439	71022	90392
440	71173	90218
441	71352	90078
442	71496	89894
443	71652	89726
444	71819	89573
445	71970	89398
446	72123	89226
447	72302	89087
448	72476	88940
449	72638	88780
450	72823	88647
451	72974	88473
452	73121	88294
453	73300	88154
454	73447	87975
455	73598	87801
456	73772	87655
457	73926	87485
458	74073	87307
459	74245	87158
460	74390	86976
461	74538	86800
462	74708	86648
463	74906	86529
464	75075	86377
465	75258	86240
466	75406	86063
467	75557	85890
468	75731	85742
469	75882	85569
470	76031	85394
471	76196	85236
472	76347	85063
473	76495	84887
474	76670	84741
475	76825	84572
476	76972	84395
477	77145	84246
478	77308	84087
479	77488	83946
480	77671	83807
481	77816	83628
482	77963	83451
483	78138	83304
484	78281	83124
485	78434	82952
486	78615	82812
487	78761	82635
488	78912	82462
489	79080	82308
490	79227	82132
491	79377	81959
492	79548	81807
493	79709	81645
494	79886	81500
495	80069	81361
496	80219	81188
497	80371	81016
498	80597	80920
499	80748	80748
500	80895	80572
501	81084	80438
502	81237	80268
503	81380	80088
504	81553	79938
505	81702	79764
506	81851	79591
507	82024	79441
508	82186	79280
509	82358	79128
510	82577	79022
511	82755	78876
512	82917	78715
513	83086	78560
514	83238	78390
515	83388	78217
516	83555	78060
517	83700	77883
518	83857	77718
519	84027	77564
520	84172	77386
521	84322	77215
522	84504	77072
523	84656	76901
524	84831	76752
525	85004	76600
526	85150	76425
527	85290	76244
528	85459	76089
529	85606	75914
530	85756	75743
531	85929	75592
532	86075	75417
533	86225	75245
534	86403	75098
535	86549	74923
536	86696	74749
537	86872	74600
538	87036	74441
539	87205	74286
540	87393	74147
541	87544	73977
542	87690	73801
543	87860	73647
544	88008	73474
545	88157	73303
546	88336	73155
547	88480	72980
548	88629	72808
549	88800	72655
550	88944	72479
551	89089	72304
552	89265	72155
553	89413	71982
554	89608	71848
555	89803	71713
556	89954	71543
557	90087	71359
558	90245	71195
559	90389	71020
560	90536	70847
561	90703	70690
562	90845	70514
563	90994	70343
564	91169	70192
565	91316	70019
566	91460	69845
567	91627	69688
568	91774	69516
569	91937	69356
570	92145	69229
571	92311	69072
572	92461	68902
573	92632	68748
574	92786	68581
575	92939	68414
576	93109	68258
577	93255	68086
578	93401	67913
579	93563	67753
580	93714	67584
581	93866	67416
582	94034	67259
583	94187	67092
584	94341	66925
585	94532	66786
586	94702	66630
587	94855	66463
588	95027	66309
589	95173	66137
590	95319	65965
591	95489	65810
592	95633	65637
593	95779	65465
594	95953	65312
595	96100	65142
596	96246	64970
597	96423	64819
598	96576	64653
599	96723	64482
600	96890	64325
601	97064	64172
602	97228	64013
603	97384	63848
604	97534	63679
605	97682	63509
606	97851	63353
607	97999	63184
608	98145	63013
609	98308	62853
610	98454	62681
611	98603	62513
612	98770	62356
613	98918	62186
614	99071	62020
615	99246	61868
616	99404	61705
617	99576	61550
618	99774	61412
619	99916	61239
620	100066	61071
621	100234	60914
622	100378	60742
623	100522	60571
624	100700	60420
625	100852	60253
626	101000	60084
627	101169	59928
628	101318	59759
629	101466	59591
630	101633	59433
631	101805	59278
632	101984	59128
633	102181	58988
634	102329	58819
635	102466	58644
636	102637	58488
637	102770	58311
638	102917	58142
639	103093	57990
640	103244	57823
641	103395	57656
642	103564	57500
643	103706	57328
644	103851	57158
645	104015	56999
646	104161	56829
647	104318	56666
648	104523	56529
649	104680	56366
650	104825	56196
651	105014	56050
652	105165	55884
653	105314	55717
654	105482	55559
655	105629	55391
656	105785	55227
657	105957	55071
658	106109	54906
659	106251	54735
660	106417	54577
661	106557	54405
662	106711	54240
663	106921	54104
664	107093	53949
665	107246	53784
666	107414	53626
667	107560	53457
668	107730	53301
669	107898	53143
670	108051	52979
671	108206	52815
672	108384	52662
673	108535	52496
674	108679	52327
675	108857	52174
676	109002	52005
677	109150	51838
678	109349	51695
679	109505	51531
680	109653	51364
681	109828	51210
682	109977	51043
683	110127	50877
684	110297	50720
685	110447	50554
686	110587	50384
687	110766	50231
688	110914	50064
689	111072	49902
690	111243	49745
691	111393	49579
692	111537	49411
693	111731	49264
694	111919	49115
695	112085	48956
696	112260	48802
697	112405	48633
698	112549	48465
699	112718	48308
700	112859	48138
701	113011	47973
702	113178	47815
703	113318	47645
704	113468	47479
705	113642	47324
706	113791	47158
707	113941	46992
708	114121	46839
709	114291	46682
710	114447	46519
711	114630	46367
712	114783	46203
713	114929	46036
714	115105	45881
715	115257	45716
716	115411	45552
717	115577	45394
718	115722	45226
719	115855	45054
720	116028	44898
721	116179	44733
722	116333	44570
723	116508	44414
724	116672	44255
725	116844	44098
726	117029	43946
727	117175	43779
728	117321	43613
729	117480	43451
730	117624	43284
731	117770	43118
732	117951	42964
733	118098	42798
734	118245	42632
735	118413	42474
736	118563	42309
737	118698	42139
738	118860	41979
739	119010	41814
740	119177	41655
741	119370	41506
742	119523	41342
743	119668	41176
744	119841	41019
745	119986	40853
746	120134	40688
747	120305	40530
748	120445	40363
749	120590	40196
750	120763	40039
751	120909	39874
752	121059	39710
753	121233	39553
754	121381	39388
755	121538	39226
756	121737	39078
757	121883	38912
758	122028	38746
759	122199	38589
760	122352	38426
761	122502	38261
762	122675	38105
763	122823	37940
764	122972	37775
765	123139	37617
766	123283	37451
767	123423	37284
768	123600	37128
769	123753	36965
770	123908	36802
771	124096	36650
772	124256	36489
773	124403	36324
774	124569	36165
775	124718	36001
776	124864	35836
777	125042	35680
778	125193	35517
779	125341	35352
780	125513	35195
781	125664	35031
782	125811	34867
783	125981	34709
784	126118	34541
785	126262	34376
786	126436	34219
787	126593	34058
788	126741	33894
789	126917	33737
790	127071	33575
791	127221	33411
792	127397	33255
793	127539	33089
794	127692	32926
795	127857	32767
796	127995	32601
797	128143	32437
798	128309	32278
799	128451	32112
800	128589	31946
801	128770	31791
802	128933	31631
803	129091	31470
804	129295	31319
805	129442	31156
806	129613	30997
807	129791	30841
808	129955	30681
809	130105	30518
810	130296	30365
811	130437	30199
812	130604	30040
813	130784	29884
814	130932	29720
815	131076	29556
816	131246	29398
817	131424	29241
818	131591	29081
819	131749	28920
820	131889	28755
821	132037	28592
822	132202	28432
823	132355	28270
824	132495	28105
825	132686	27950
826	132840	27788
827	133002	27628
828	133183	27472
829	133335	27309
830	133489	27147
831	133691	26995
832	133864	26837
833	134034	26678
834	134217	26522
835	134365	26358
836	134512	26195
837	134689	26037
838	134844	25876
839	134999	25714
840	135179	25557
841	135313	25391
842	135448	25225
843	135601	25063
844	135756	24902
845	135910	24740
846	136094	24583
847	136261	24424
848	136444	24267
849	136644	24113
850	136800	23952
851	136948	23789
852	137129	23631
853	137276	23468
854	137438	23308
855	137610	23149
856	137771	22988
857	137910	22824
858	138109	22669
859	138262	22507
860	138424	22347
