iter	Passed	Remaining
399	66818	100227
400	66964	100029
401	67108	99827
402	67275	99660
403	67419	99459
404	67574	99276
405	67771	99153
406	67925	98968
407	68069	98766
408	68241	98607
409	68385	98408
410	68535	98217
411	68719	98075
412	68869	97884
413	69011	97683
414	69175	97512
415	69322	97317
416	69467	97121
417	69651	96978
418	69787	96769
419	69933	96575
420	70135	96456
421	70292	96276
422	70436	96079
423	70604	95915
424	70748	95718
425	70896	95527
426	71059	95356
427	71208	95165
428	71349	94966
429	71512	94795
430	71659	94603
431	71795	94398
432	71958	94227
433	72096	94024
434	72243	93833
435	72465	93739
436	72620	93559
437	72765	93365
438	72932	93200
439	73074	93003
440	73217	92808
441	73385	92644
442	73530	92452
443	73666	92249
444	73822	92071
445	73965	91876
446	74107	91680
447	74272	91514
448	74416	91321
449	74558	91127
450	74749	90992
451	74921	90834
452	75067	90643
453	75265	90517
454	75420	90338
455	75566	90149
456	75734	89985
457	75877	89794
458	76019	89599
459	76186	89435
460	76330	89245
461	76476	89057
462	76642	88891
463	76781	88696
464	76932	88514
465	77134	88390
466	77310	88236
467	77546	88150
468	77721	87996
469	77863	87803
470	78007	87613
471	78177	87452
472	78321	87262
473	78469	87077
474	78637	86914
475	78776	86720
476	78924	86535
477	79084	86364
478	79225	86172
479	79400	86016
480	79579	85866
481	79719	85673
482	79862	85483
483	80025	85316
484	80171	85130
485	80322	84950
486	80490	84787
487	80627	84592
488	80761	84394
489	80927	84230
490	81070	84042
491	81214	83855
492	81383	83694
493	81519	83499
494	81681	83332
495	81880	83201
496	82030	83020
497	82175	82835
498	82348	82678
499	82525	82525
500	82681	82351
501	82839	82179
502	82987	81997
503	83131	81812
504	83299	81650
505	83483	81503
506	83648	81338
507	83814	81174
508	83967	80997
509	84153	80853
510	84332	80701
511	84495	80534
512	84639	80349
513	84799	80179
514	84941	79993
515	85077	79800
516	85239	79633
517	85390	79455
518	85552	79288
519	85724	79130
520	85873	78950
521	86023	78772
522	86203	78621
523	86356	78446
524	86542	78300
525	86717	78144
526	86854	77954
527	87023	77793
528	87168	77611
529	87314	77429
530	87482	77267
531	87621	77080
532	87762	76895
533	87948	76749
534	88211	76669
535	88442	76562
536	88679	76459
537	88893	76336
538	89408	76469
539	89700	76411
540	89961	76326
541	90206	76226
542	90433	76110
543	90638	75976
544	90844	75842
545	91059	75715
546	91221	75545
547	91394	75384
548	91638	75280
549	91990	75265
550	92291	75207
551	92525	75093
552	92743	74966
553	92963	74840
554	93189	74719
555	93396	74582
556	93603	74446
557	93931	74404
558	94134	74263
559	94398	74169
560	94816	74196
561	95037	74068
562	95317	73985
563	95616	73916
564	95830	73780
565	96037	73639
566	96268	73517
567	96479	73378
568	96714	73257
569	96996	73172
570	97305	73106
571	97531	72977
572	97787	72871
573	97981	72717
574	98184	72570
575	98424	72451
576	98739	72386
577	98989	72272
578	99266	72178
579	99469	72029
580	99697	71898
581	99982	71809
582	100183	71657
583	100513	71598
584	100860	71550
585	101198	71494
586	101435	71367
587	101678	71243
588	101911	71113
589	102207	71025
590	102521	70950
591	102709	70786
592	102991	70687
593	103242	70566
594	103525	70467
595	103863	70403
596	104148	70304
597	104430	70202
598	104695	70088
599	105000	70000
600	105241	69868
601	105453	69718
602	105697	69588
603	105946	69461
604	106273	69385
605	106622	69322
606	106907	69216
607	107139	69076
608	107381	68942
609	107620	68806
610	107807	68636
611	108014	68479
612	108192	68304
613	108360	68122
614	108551	67955
615	108711	67768
616	108892	67594
617	109051	67407
618	109218	67225
619	109410	67058
620	109617	66900
621	109824	66742
622	110065	66604
623	110246	66430
624	110412	66247
625	110623	66091
626	110802	65915
627	110998	65750
628	111208	65593
629	111373	65409
